Gross,Net,Conventional Accounting,Economic Sector,Sector,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Year,Gas,MT CO2e AR5 20 yr,MT CO2e AR4 100 yr
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1990,CO2,521347,521347
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1991,CH4,5067,1508
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1991,CO2,550680,550680
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1991,N2O,2389,2696
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1992,CO2,539638,539638
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1992,N2O,2331,2631
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1993,CO2,444973,444973
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1994,CH4,3491,1039
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1994,CO2,376818,376818
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1994,N2O,1646,1858
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1996,CH4,5481,1631
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1996,CO2,590222,590222
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1996,N2O,2584,2916
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1997,CO2,533127,533127
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1998,CH4,2951,878
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1998,CO2,318193,318193
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1998,N2O,1391,1570
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1999,CH4,3581,1066
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1999,CO2,384797,384797
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1999,N2O,1688,1906
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2000,CH4,2026,603
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2000,CO2,217932,217932
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2000,N2O,955,1078
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2001,CH4,2237,666
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2001,CO2,240529,240529
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2001,N2O,1055,1190
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2002,CH4,881,262
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2002,CO2,94616,94616
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2002,N2O,415,469
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2003,CH4,1637,487
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2003,N2O,772,871
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2004,CH4,3207,955
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2004,CO2,343552,343552
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2004,N2O,1512,1707
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2005,CH4,3262,971
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2005,CO2,351462,351462
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2006,CH4,2803,834
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2006,CO2,304555,304555
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2006,N2O,1322,1492
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2007,CH4,2629,783
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2007,CO2,281875,281875
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2008,CH4,1515,451
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2008,CO2,161202,161202
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2008,N2O,714,806
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2009,CO2,52078,52078
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2009,N2O,231,260
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2010,CO2,7270,7270
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2010,N2O,32,36
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2011,CH4,97,29
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2011,CO2,10315,10315
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2012,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2013,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2013,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2013,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2014,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2014,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2015,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2015,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2016,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2016,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2017,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2017,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2018,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2018,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2019,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2020,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2020,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2020,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,CH4,79577,23684
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,CO2,6640643,6640643
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,N2O,15006,16939
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1991,CH4,76235,22689
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1991,CO2,6361752,6361752
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1992,CH4,83430,24830
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1992,CO2,6962207,6962207
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1993,CH4,83268,24782
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1993,CO2,6948673,6948673
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1993,N2O,15702,17724
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1994,N2O,15788,17822
